Platform,WorkLoad,SubWorkLoad,SubWorkLoadScenario,Description,Action Type,Telemetry all,action_gesture,module_name,module_type,action_outcome,panel_type,action_scenario,action_scenario_type,action_subWorkLoad,thread_type,databag.rsvp,module_summary,target_thread_type,databag.meeting_rsvp,databag.is_toggle_on,databag.community_rsvp,main_entity_type,main_slot_app,eventInfo.identifier,databag.action_type,subNav_entity_type
Android,Collab action,Meeting,Meeting - Create a Meeting,"Navigate to the calendar feature, then click on Schedule an Event option, schedule a meeting, and click the checkmark button to capture this scenario",Primary ,"""EVENT_NAME"": ""userbi"",
""LOG_TAG"": ""UserBITelemetryEvent"",
""appMode"": ""phone"",
""contextProps"": {
""UserInfo.IsLicensed"": ""false"",
""UserInfo.Licenses""; ""TeamsFree""
""databag Prop"": ""(\""isRecurring\"":false,
\""numberOfDaysEventStartDatels From Today\"":0,\""num
berOfAnonymousUsersAdded\"":0,\""isAllDay\"":false,
\""isCommunityEvent\"":false,\""bodyFilled\"":false,
\""isOnline\"":true,\""scheduled Meeting Type\"":
\""meetingNew\"",
\""numberOfGuestUsersAdded\"":0,\""freeTimesUsed\"":fal
se,\""isLocationEmpty\"":true,\""isTitleEmpty\"":false,
\""isSensitivityLabelApplied\"":false,\""meetingDuration\"": \""301"",
\""numberOfinternal UsersAdded\"":2,\""numberOfMeeting
Participants\"":3}"",
""eventName"": ""panelaction"",
""eventVersion"": 0,
""gesture"": ""tap"",
""id"": 1721660985438,
""isBlocked"": false,
""isContact"": false,
""launchMethod"": ""userInitiated"",
""licenseType"": """",
""moduleName"": ""saveNewMeeting Button"",
""moduleType"": ""button"",
""outcome"": ""submit"",
""panelRegion"": ""main"",
""panelType"": ""calendar NewMeeting"",
""propMap"": (
)
""Meeting.Id"": ""9312679129160"",
""Team.Size"": ""3""
""real DisplayHeightDp"": 0,
""real DisplayWidthDp"": 0,
""scenario"": ""saveNewMeeting"",
""scenarioType"": ""calendarEvent"",
""smbintent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""subWorkLoad"":
""target ThreadId"":"""",
""target ThreadMembers"": 0,
""target Thread Type"": """",
}
""threadId"":"""",
""threadMembers"": 0,
""threadType"": """"
""userRole"": ""msaMember"",
""workLoad"":""
""mLogAnonymously"": false,
""mStartTimeMillis"": 122845775",tap,saveNewMeeting Button,button,submit,calendar NewMeeting,saveNewMeeting,calendarEvent,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Create a Meeting,"Navigate to the calendar feature, then click on Schedule an Event option, schedule a meeting, and click the checkmark button to capture this scenario",Secondary,"{
""EVENT_NAME"": ""userbi"",
""LOG_TAG"": ""UserBITelemetryEvent"",
""appMode"": ""phone"",
""contextProps"": {
""UserInfo.IsLicensed"": ""false"",
""UserInfo.Licenses"": ""TeamsFree""
},
""databagProp"": ""{\""RestAvailableDatabagKey\"":
\""Phase3Disabled\"",\""Apildentity\"":
\""CREATE_EVENT\""}"",
""eventName"": ""panelaction"",
""eventVersion"": 0,
""gesture"": ""automatic"",
""id"": 1721660985446,
""isBlocked"": false,
""isContact"": false,
""launch Method"": ""dataReceived"",
""licenseType"":"""",
""moduleName"": ""restApiFlow"",
""moduleType"": ""calendar"",
""panelRegion"": ""main"",
""panelType"": ""calendar"",
""propMap"": {},
""real DisplayHeightDp"": 0,
""real DisplayWidthDp"": 0,
""scenario"": ""restUserAction"",
""scenarioType"": ""restApi"",
""smbintent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""userRole"": ""msaMember"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 122845783
}",automatic,restApiFlow,calendar,,calendar,restUserAction,restApi,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join button - Joining through calendar,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Primary ,"""appMode"": ""phone"",
""collabAppEnabled"": false,
""destinationUri"": ""app.calling"",
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1722262570098,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabagProp"":
""(isOrganizer.true,calendarEventId:AQMkAGM4YzkwMA
ItZTNhMC02MjU2LTAwAi0wMAoARgAAA-H9US4MCVh Pn5RclFvY2AAdBwBz1V3ULzZLSKkjkQFawKn_AAACA Q0AAABZ1 V3ULzZLSKkjkQFawKn_AAAAltCdDQAAAA= =,isOnline:true, isLocationEmpty:false)"",
""mDatabag PropMap"": {
""isOrganizer"": ""true"",
""calendarEventid"":
""AQMkAGM4YzkwMAltZTNhMC02MjU2LTAwAi0wMAo
ARgAAA-H9US4MCVhPn5RclFvY2AAdBwBz1V3ULZZL
SKkjkQFawKn_AAACAQ0AAABZ1V3ULzZLSKkjkQFawk
n_AAAAItCdDQAAAA=="",
}
""isOnline"": ""true"",
""isLocationEmpty"": ""false""
""moduleName"": ""meeting JoinButton"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""nav"",
""panelType"": ""meetingDetail FullPage"",
""paywall License"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""realDisplayWidthDp"": 360,
""region"": ""main"",
""scenario"": ""joinMeeting"",
""scenarioType"": ""calendarEvent"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbintent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbintentScore"": ""0.50"",
""target ThreadType"": ""MeetingDetail"",
""teamid"":
""19:fBf1hd8uLqf0E5Y2uyhruCGbSb6bU5wFVBXDuAhn
Nck1@thread.v2"",
""teamSize"": 0,
""threadid"":
""19:meeting_OTZhMDBjMjY1OGM5ZS00NjNhLWEXMG
QtMm150DlyOWFhMzlz@thread.v2"",
""threadType"": ""MeetingDetail"",
""userRole"": ""default"",
""mLogAnonymously"": false, ""mStartTimeMillis"": 21894398",tap,meeting JoinButton,button,nav,calendarView,joinMeeting,calendarEvent,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Join button - Joining through calendar,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Secondary,"""appMode"": ""phone"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""id"": 1722262570106,
""IsBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabagProp"":
""{thread Type:MeetingDetailisOrganizer.true
meeting Type scheduled,teamid:19:
fBf1hd8ul.qf0E5Y2uyhruCGbSb6bU5wFVBXDuAhnNck
1@thread.v2,calendarEventid:
AQMKAGM4YzkwMAItZTNhMC02MjU2LTAwAi0wMAoA
RgAAA
-H9US4MCVhPn5RclFvY2AAdBwBz1V3ULzZLSKkjkQF
awKn_AAACAQ0AAABZ1V3ULzZLSKkjkQFawkn
AAAAItCdDQAAAA==jsOnline true isLocationEmpty:
false,threadid:19 meeting
OTZHMDBJMJYŁOGM5ZS00NjNhLWEXMGQtMml50Dly
OWFhMzIz@thread.v2.joinSource:other)"",
""mDatabagPropМар"": {
""threadType"": ""MeetingDetail"",
""isOrganizer"": ""true"",
""meeting Type"": ""scheduled"",
""teamid"":
""19:fBf1hd8uLqf0E5Y2uyhruCGbSb6bU5wFVBXDuAhn Nck1 @thread.v2"",
""calendarEventid"":
""AQMKAGM4YzkwMAltZTNHMC02MjU2LTAwAi0wMAo
ARgAAA-H9US4MCVhPn5RclFvY2AAdBwBz1V3ULzZL
SKkjkQFawkn AAACAQDAAABZ1V3UL.zZLSKkjkQFawK
n_AAAAIICdDQAAAA=="",
""isOnline"": ""true"",
""isLocationEmpty"": ""false"",
""threadid"":
""19:meeting_OTZhMDBjMjY1OGM5ZS00NjNhLWEXMG
QtMml50DlyOWFhMziz@thread.v2"",
""joinSource"": ""other""
""moduleName"": ""meeting.JoinStarted"",
""module Type"": ""view"".
""newChatAndChannelEnabled"": false,
""panelType"": ""view"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""realDisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""meeting.Join"",
""scenarioType"": ""meetingJoin"",
""smartReplyClickPosition"": -1,
""smartReplyLength"":-1,
""smbintent"": ""Neutral"",
""smbintentConfidenceScore"": ""0.50"",
""smbintentScore"": ""0.50"",
""teamid"":
""19:fBf1hd8uL.qf0E5Y2uyhruCGbSb6bU5wFVBXDuAhn
Nck1 @thread.v2"", ""teamSize"": 0,
""threadid"": ""19:meeting OTZHMDBjMjYI0GM5ZS00NjNhLWEXMG
QtMml50DlyOWFhMziz@thread.v2"",
""threadType"": ""Meeting Detail"",
""userRole"": ""default"",
""mLogAnonymously"": false,
""mStartTimeMillis: 21894407",,,view,,,meetingJoin,meetingJoin,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Joining through calender,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Primary ,"{
""appMode"": ""phone"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721653220230,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""joinNowButton"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""submit"",
""panelType"": ""preJoin"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""meetingJoin Now"",
""scenarioType"": ""callOrMeetUp"",
""smartReplyClickPosition"": -1,
""smartReply Length"": -1,
""smbIntent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""userRole"": ""default"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 116096547
}",tap,joinNowButton,button,submit,preJoin,meetingJoinNow,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Joining through calender,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Secondary,"{
""EVENT_NAME"": ""userbi"",
""LOG_TAG"": ""UserBITelemetry Event"",
""appMode"": ""phone"",
""contextProps"": {
""UserInfo.IsLicensed"": ""false"",
""UserInfo.Licenses"": ""TeamsFree""
},
""eventName"": ""panelaction"",
""eventVersion"": 0,
""gesture"": ""tap"",
""id"": 1721653222344,
""isBlocked"": false,
""isContact"": false,
""launchMethod"": ""userInitiated"",
""licenseType"":
""moduleName"": ""MeetingJoinType"",
""moduleType"": ""meetings"",
""panelRegion"": ""main"",
""panelType"": ""meetingJoin"",
""propMap"": {},
""real DisplayHeightDp"": 0,
""real DisplayWidthDp"": 0,
""scenario"": ""tfwInternal Meeting Joins"",
""scenarioType"": ""tfwMeetingJoins"",
""smbIntent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""userRole"": ""msaMember"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 116098661
}",tap,MeetingJoinType,meetings,,meetingJoin,tfwInternalMeetingJoins,tfwMeetingJoins,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Joining through calender,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Secondary,"{
""appMode"": ""phone"",
""callid"": ""e951379e-a84b-4900-b656-89aefea79c93"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721653222349,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""private"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""submit"",
""panelType"": ""button"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""realDisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""webinarAttendee Join"",
""scenarioType"": ""webinarAttendeeJoin"",
""smartReplyClickPosition"": -1,
""smartReply Length"": -1, ""smbIntent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""userRole"": ""default"",
""mLogAnonymously"": false,
}
""mStartTimeMillis"": 116098665
}",tap,private,button,submit,button,webinarAttendee Join,webinarAttendeeJoin,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Joining through calender,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Secondary,"{
""appMode"": ""phone"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721653222355,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""newChatAndChannelEnabled"": false,
""outcome"": ""nav"",
""panelType"": ""callOrMeetupLive"",
""panelUri"": ""app.calling"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real Display HeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""otherOptions"",
""scenarioType"": ""joinMeeting"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbIntent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbintentScore"": ""0.50"",
""teamSize"": 0,
""userRole"": ""default"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 116098672
}",tap,,,nav,callOrMeetupLive,otherOptions,joinMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Joining through calender,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Primary ,"{
""appMode"": ""phone"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""id"": 1721653222811,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag Prop"":
""{userAccount Type: MSA, identity Type:native)"",
""mDatabag PropMap"": {
""userAccountType"": ""MSA"",
""identityType"": ""native""
},
""moduleName"": ""meeting Joined Successfully"",
""moduleType"": ""view"",
""newChatAndChannelEnabled"": false,
""panelType"": ""view"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""meeting Join"",
""scenarioType"": ""meetingJoin"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbintent"": ""Neutral"",
""smbintentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""threadId"":
""19:meeting_Yjk5ZmFhYmEtYmQ0Ny00NjFmLWE5Mz
""userRole"": ""default"",
AtZTIwNDI0MzdmYjU0@thread.v2"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 116099127
}",,meeting Joined Successfully,view,,view,meeting Join,meetingJoin,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Joining through calender,Navigate to the calendar feature and click on the Join button for a scheduled meeting to capture this scenario,Secondary,"{
""appMode"": ""phone"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721653222899,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""joinNowButton"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""submit"",
""panelType"": ""preJoin"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""meeting Join NowWithPSTN"",
""scenarioType"": ""callOrMeetUp"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbIntent"": ""Neutral"",
""smbintentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""userRole"": ""default"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 116099215
}",tap,joinNowButton,button,submit,preJoin,meeting Join NowWithPSTN,callOrMeetUp,,,,,,,,,,,,,
